timestamps,TransCurrentGear,TransSelectedGear,WheelBasedVehicleSpeed,EngSpeed,TransOutputShaftSpeed,TransInputShaftSpeed,TransShiftInProcess,StateChange,Delta_Time,TransInputShaftSpeedVelocity,Delta_TransInputShaftSpeedVelocity,TransInputShaftSpeedAcceleration,TransInputShaftSpeedAccelerationForth,TransOutputShaftSpeedVelocity,Delta_TransOutputShaftSpeedVelocity,TransOutputShaftSpeedAcceleration,TransOutputShaftSpeedAccelerationForth
2024-08-05 10:20:01.260255057-03:00,5.0,6.0,15.225638112091207,1206.1766411851904,317.8649325248996,1252.1585002280856,b'Shift in process',0,0.000632213,15.902412952896688,-0.003768762038623308,-5.961221991043063,1262.819209578381,4.036884643066225,-0.0015278765021449203,-2.4167116179909627,34.11138236520865
2024-08-05 10:20:01.260859036-03:00,5.0,6.0,15.22262068125756,1205.8474140834148,317.75,1251.875,b'Shift in process',0,0.000603979,15.8988125,-0.003600452896687756,-5.961221990644965,1262.8192092410507,4.035425,-0.0014596430662248139,-2.4167116178291197,34.11138235607113
2024-08-05 10:20:01.261427170-03:00,5.0,6.0,15.219782329180136,1205.5377259812556,317.6513633547881,1251.727045032182,b'Shift in process',0,0.000568134,15.896933471908712,-0.0018790280912881485,-3.3073677887402417,119.65475711506504,4.034172314605809,-0.0012526853941912108,-2.204911859158598,23.63550757821743
2024-08-05 10:20:01.265054789-03:00,5.0,6.0,15.201659029460771,1203.5603214374025,317.0215537202799,1250.78233058042,b'Shift in process',0,0.003627619,15.884935598371333,-0.011997873537378467,-3.3073687003454517,119.65488903622054,4.026173732247554,-0.00799858235825468,-2.2049124668976208,23.6355336368123
2024-08-05 10:20:01.268146573-03:00,5.0,6.0,15.186212728587002,1201.875,316.4847734838741,1249.977160225811,b'Shift in process',0,0.003091784,15.8747099348678,-0.010225663503533156,-3.3073667188694795,119.65460229096048,4.019356623245201,-0.0068171090023527725,-2.2049111459121247,23.635476995708334
2024-08-05 10:20:01.270338826-03:00,5.0,6.0,15.175260407732084,1201.0043632717202,316.10416524467576,1249.4062478670137,b'Shift in process',0,0.002192253,15.867459347911074,-0.0072505869567258685,-3.3073677886292634,119.65475709900504,4.014522898607382,-0.004833724637819614,-2.204911859087256,23.635507575158435
2024-08-05 10:20:01.270938804-03:00,5.0,6.0,15.172262965574705,1200.7660865386258,316.0,1249.25,b'Shift in process',0,0.000599978,15.865475,-0.00198434791107438,-3.307367788609549,119.6547570961521,4.0132,-0.0013228986073814397,-2.2049118590705654,23.635507574442773
2024-08-05 10:20:01.274982306-03:00,5.0,6.0,15.152061952607024,1199.1602402462188,315.18048320761727,1247.4573070166628,b'Shift in process',0,0.004043502,15.842707799111617,-0.022767200888383243,-5.630565012304493,1005.0968441267057,4.00279213673674,-0.010407863263260708,-2.5739725770534325,43.89506157546533
2024-08-05 10:20:01.276506736-03:00,5.0,6.0,15.144446022109484,1198.5548243805752,314.8715193481148,1246.7814485740012,b'Shift in process',0,0.00152443,15.834124396889814,-0.008583402221802316,-5.630565012366797,1005.0968441711925,3.9988682957210586,-0.0039238410156809955,-2.5739725770819226,43.89506157740874
2024-08-05 10:20:01.280210841-03:00,5.0,6.0,15.12594060944033,1197.0837670444023,314.1207898447673,1245.1392277854284,b'Shift in process',0,0.003704105,15.813268192874942,-0.02085620401487276,-5.630565012296563,1005.0968441210431,3.9893340310285446,-0.00953426469251406,-2.573972577050073,43.89506157523616
2024-08-05 10:20:01.280806819-03:00,5.0,6.0,15.122963150963349,1196.8470788811057,314.0,1244.875,b'Shift in process',0,0.000595978,15.8099125,-0.0033556928749423065,-5.630565012370098,1005.0968441735491,3.9878,-0.0015340310285445469,-2.5739725770826216,43.895061577456424
2024-08-05 10:20:01.282014854-03:00,5.0,6.0,15.116927904610012,1196.3673169010617,313.851854899513,1244.326863128198,b'Shift in process',0,0.001208035,15.802951161728116,-0.006961338271883832,-5.7625302842085135,1102.6885959880642,3.9859185572238154,-0.0018814427761846275,-1.5574406173534934,5.88363857740938
2024-08-05 10:20:01.285113934-03:00,5.0,6.0,15.101445148507057,1195.136540675931,313.4718050516024,1242.920678690929,b'Shift in process',0,0.00309908,15.785092619374797,-0.017858542353318185,-5.762530284251515,1102.6885960209781,3.9810919241553506,-0.0048266330684647585,-1.5574406173653983,5.883638577589276
2024-08-05 10:20:01.286655349-03:00,5.0,6.0,15.093744362306534,1194.5243793457782,313.28277652174387,1242.2212731304523,b'Shift in process',0,0.001541415,15.776210168756744,-0.008882450618052928,-5.76253028422127,1102.6885959978279,3.978691261826147,-0.002400662329203662,-1.5574406173572088,5.883638577465525
2024-08-05 10:20:01.287975730-03:00,5.0,6.0,15.093744362306534,1194.0,313.120854080815,1241.6221600990154,b'Shift in process',0,0.001320381,15.768601433257496,-0.0076087354992484535,-5.762530284250117,1102.6885960199081,3.97663484682635,-0.0020564149997968073,-1.5574406173648419,5.883638577580867
2024-08-05 10:20:01.290403877-03:00,5.0,6.0,15.093744362306534,1192.4106875459086,312.82308283965256,1240.5204065067144,b'Shift in process',0,0.002428147,15.754609162635274,-0.013992270622221525,-5.762530284295607,1102.6885960547277,3.9728531520635877,-0.0037816947627624664,-1.5574406173771467,5.883638577766806
2024-08-05 10:20:01.290999824-03:00,5.0,6.0,15.093744362306534,1192.0206180859204,312.75,1240.25,b'Shift in process',0,0.000595947,15.751175000000002,-0.0034341626352727417,-5.762530284190946,1102.6885959746178,3.971925,-0.0009281520635875395,-1.557440617349428,5.883638577347948
2024-08-05 10:20:01.291568067-03:00,5.0,6.0,15.093744362306534,1191.6486819235508,312.67190991188045,1239.9305405486018,b'Shift in process',0,0.000568243,15.747117864967244,-0.0040571350327578415,-7.139788845190951,2598.6121931728894,3.970933255880882,-0.0009917441191182874,-1.7452817177128226,9.278166406388987
2024-08-05 10:20:01.295041450-03:00,5.0,6.0,15.093744362306534,1189.3752236610615,312.194584569481,1237.9778459660586,b'Shift in process',0,0.003473383,15.722318643768945,-0.024799221198298582,-7.139788845139906,2598.612193098575,3.9648712240324087,-0.006062031848473204,-1.7452817177009283,9.27816640613606
2024-08-05 10:20:01.296224766-03:00,5.0,6.0,15.093744362306534,1188.600699360874,312.03196883868725,1237.3125997946297,b'Shift in process',0,0.001183316,15.713870017391796,-0.008448626377148827,-7.139788845201812,2598.6121931887005,3.962806004251328,-0.0020652197810808737,-1.74528171771604,9.278166406457403
2024-08-05 10:20:01.300409379-03:00,5.0,6.0,15.093744362306534,1185.86171463039,311.45690359738666,1234.9600601711272,b'Shift in process',0,0.004184613,15.683992764173317,-0.029877253218479893,-7.139788845104647,2598.612193047243,3.9555026756868106,-0.007303328564517209,-1.7452817176922235,9.278166405950955
2024-08-05 10:20:01.301005372-03:00,5.0,6.0,15.093744362306534,1185.471615061676,311.375,1234.625,b'Shift in process',0,0.000595993,15.679737500000002,-0.004255264173314899,-7.139788845363786,2598.612193424511,3.9544625,-0.001040175686810585,-1.7452817177560558,9.278166407308321
2024-08-05 10:20:01.304959091-03:00,5.0,6.0,15.093744362306534,1182.883759035413,311.1745271567229,1228.9115239666016,b'Shift in process',0,0.003953719,15.607176354375841,-0.07256114562416016,-18.352630934105374,113447.08066363273,3.951916494890381,-0.0025460051096191094,-0.6439519626000506,0.17195463420442725
2024-08-05 10:20:01.305129500-03:00,5.0,6.0,15.093744362306534,1182.7722200116145,311.16588658900565,1228.6652677866616,b'Shift in process',0,0.000170409,15.604048900890602,-0.003127453485239684,-18.35263093639235,113447.08072018069,3.9518067596803714,-0.00010973521000945397,-0.6439519626865597,0.17195463429682947
2024-08-05 10:20:01.306349738-03:00,5.0,6.0,15.093744362306534,1181.9735288902182,311.1040145689313,1226.9019152145422,b'Shift in process',0,0.001220238,15.581654323224688,-0.022394577665913573,-18.35263093422232,113447.08066652431,3.9510209850254276,-0.0007857746549437827,-0.6439519626038386,0.17195463420847326
2024-08-05 10:20:01.307646118-03:00,5.0,6.0,15.093744362306534,1181.125,311.03828177796515,1225.0285306720066,b'Shift in process',0,0.00129638,15.557862339534482,-0.023791983690205853,-18.35263093398992,113447.08066077804,3.9501861785801577,-0.0008348064452698978,-0.6439519625957649,0.17195463419984963
2024-08-05 10:20:01.310270394-03:00,5.0,6.0,15.093744362306534,1179.7598452446625,310.9052181810662,1221.2362181603864,b'Shift in process',0,0.002624276,15.509699970636907,-0.04816236889757519,-18.352630934236792,113447.08066688219,3.9484962708995406,-0.0016899076806171642,-0.6439519626049868,0.17195463420969967
2024-08-05 10:20:01.310866356-03:00,5.0,6.0,15.093744362306534,1179.4498243633582,310.875,1220.375,b'Shift in process',0,0.000595962,15.4987625,-0.01093747063690742,-18.352630934367326,113447.08067010978,3.9481125,-0.00038377089954044763,-0.6439519626091054,0.17195463421409884
2024-08-05 10:20:01.314962734-03:00,5.0,6.0,15.093744362306534,1177.31887856866,311.28481123211276,1216.5842461029572,b'Shift in process',0,0.004096378,15.450619925507556,-0.0481425744924433,-11.752473646827344,19077.31031538864,3.9533171026478318,0.005204602647831624,1.2705376915488815,2.6058548015560974
